,1,2,3,4,5
chateau d'armailhac 2017,chateau aney haut-medoc cru bourgeois 2014,chateau marojallia 2018,chateau cantemerle haut-medoc 2016,domaines barons de rothschild lafite 'legende r' 2016,knights bridge 'kb estate' red blend 2019
fox run vineyards cabernet franc 2018,treleaven cabernet franc 2019,massolino dolcetto d'alba 2019,chateau de valois pomerol 2016,chateau la tour figeac grand cru classe 2015,louis m. martini howell mountain cabernet sauvignon 2017
rodney strong alexander valley cabernet sauvignon 2018,penley estate 'phoenix' cabernet sauvignon 2019,mayacamas vineyards cabernet sauvignon 2016,mt. brave cabernet sauvignon 2018,my favorite neighbor cabernet sauvignon 2019,arrowood winery knights valley cabernet sauvignon 2018
weingut hirsch kammern grüner veltliner 2019,weingut hirsch lamm gruner veltliner 2019,weingut familie bauer barig alte reben 2019,anne amie vineyards pinot gris 2019,jadix picpoul de pinet 2019,weingut r & a pfaffl zeisen grüner veltliner 2018
cantine colosi nero d'avola terre siciliane igt 2019,masciarelli montepulciano d'abruzzo 2019,mezzacorona 'dinotte' red blend 2019,louis jadot macon-villages 2019,massolino dolcetto d'alba 2019,bonterra chardonnay 2020
treleaven semi-dry cayuga lake riesling 2019,clif family winery gewürtztraminer 2018,treleaven reserve chardonnay 2019,airlie dry müller-thurgau 2019,dutton- goldfield chileno valley vineyard riesling 2018,gundlach-bundschu estate vineyard gewurztraminer 2019
adami valdobbiadene prosecco superiore docg vigneto giardino asciutto rive di colbertaldo dry 2020 nv,bottega liquid metals venetian gold prosecco doc nv,"canella prosecco superiore valdobbiadene brut ""millesimato"" docg 2020",ca' di prata valdobbiadene prosecco superiore docg extra dry nv,adriano adami dry vigneto giardino rive di colbertaldo nv,josh cellars prosecco nv
santo wines assyrtiko 2020,hanzell vineyards chardonnay 2016,chamisal vineyards sta. rita hills chardonnay 2018,albert bichot 'secret de famille' bourgogne cote d'or chardonnay 2017,imagery estate winery aleatico rosé 2021,skouras almyra chardonnay 2020
inman family whole buncha love 2020,chalk hill estate sauvignon blanc 2019,c.l. butaud desert willow vineyard mourvedre 2019,clif family winery gewürtztraminer 2018,neyers vineyards chardonnay 2018,"enroute pinot noir russian river valley ""les pommiers"" 2019"
leeuwin estate prelude vineyards cabernet sauvignon 2018,stark-condé stellenbosch cabernet sauvignon 2019,captûre pine mountain cabernet sauvignon 2017,crossbarn sonoma county cabernet sauvignon 2018,my favorite neighbor cabernet sauvignon 2019,cullen dancing in the sun 2018
enroute brumaire russian river valley chardonnay 2018,jermann 'where dreams have no end' venezia giulia igt 2017,dutton-goldfield rued vineyard chardonnay 2018,sonoma-cutrer chardonnay 2018,trombetta family wines gap's crown vineyard chardonnay 2018,domaine matrot meursault les chevalieres 2018
rodney strong chalk hill chardonnay 2019,la crema sonoma coast chardonnay 2018,imagery estate winery chardonnay 2020,seaglass chardonnay 2020,herdade do esporão monte velho rosé 2021,sonoma-cutrer 40th anniversary winemaker’s release chardonnay 2019
cullen dancing in the sun 2018,chateau chatelier bordeaux blanc 2019,mary taylor 'pascal biotteau' anjou blanc 2020,chalone vineyard estate grown pinot noir 2019,d'arenberg the hermit crab marsanne - viognier 2018,feudi di san gregorio falanghina del sannio 2019
attems pinot grigio 2020,"vigneti del sole, pinot grigio 'delle venezie doc' 2021",san pietro pinot grigio 2021,"the pinot project, pinot grigio 'delle venezie doc' 2021","bieler family, pinot grigio ""daisy"" 2021",cantina terlano pinot grigio 2021
balletto teresa's unoaked chardonnay 2020,intrinsic sauvignon blanc 2020,treleaven reserve chardonnay 2019,ramey chardonnay 2017,shannon ridge high elevation chardonnay 2020,balletto chardonnay 2017
delamotte blanc de blancs vintage brut 2012,louis roederer et philippe starck brut nature millesime 2012,charles heidsieck brut reserve rosé nv,perrier-jouet belle epoque - fleur de champagne millesime brut 2012,krug brut rosé 25th edition nv,charles heidsieck brut réserve nv
feudo montoni passito rosso nv,vietti tre vigne barbera d'asti docg 2018,garesio barbera d'asti superiore nizza docg 2017,epiphany cellars 'inspiration' red,field recording skins 2020,adami valdobbiadene prosecco superiore docg vigneto giardino asciutto rive di colbertaldo dry 2020 nv
alesia rhys vineyards anderson valley chardonnay 2016,gundlach-bundschu estate vineyard cabernet sauvignon 2016,clif family winery gewürtztraminer 2018,early mountain vineyards five forks white 2019,kokomo winery peters vineyard chardonnay 2019,chapel down classic brut nv
allegrini amarone della valpolicella classico docg 2015,camins 2 dreams zotovich vineyard syrah 2018,mary taylor 'pascal biotteau' anjou blanc 2020,my favorite neighbor cabernet sauvignon 2019,decibel wines 'giunta' malbec nouveau 2020,jefferson vineyards cabernet franc 2017
kendall-jackson jackson estate hawkeye mountain cabernet sauvignon 2018,freemark abbey napa valley cabernet sauvignon 2017,stonestreet estate vineyards cabernet sauvignon 2017,captûre pine mountain cabernet sauvignon 2017,seven hills winery walla walla valley cabernet sauvignon 2018,1882 cabernet sauvignon 2018
hirsch vineyards hirsch estate chardonnay 2020,trombetta family wines gap's crown vineyard chardonnay 2018,hartford court russian river valley chardonnay 2020,chateau montelena napa valley chardonnay 2019,gundlach bundschu estate vineyard chardonnay 2019,la crema sonoma coast chardonnay 2018
gran moraine pinot noir 2019,schug pinot noir 2019,hirsch vineyards san andreas fault pinot noir 2018,raptor ridge temperance hill vineyard pinot noir 2018,emeritus vineyards hallberg ranch pinot noir 2018,"enroute pinot noir russian river valley ""les pommiers"" 2019"
oak farm vineyards sauvignon blanc 2019,ram's gate winery sauvignon blanc 2020,clif family winery sauvignon blanc 2019,alma de cattleya sauvignon blanc 2021,ridgecrest estate grüner veltliner 2019,massaya classic blanc 2018
clendenen family vineyards 'the pip' nebbiolo 2017,vox vineti nebbiolo 2018,vietti 'perbacco' langhe nebbiolo 2018,schug pinot noir 2019,adriano adami dry vigneto giardino rive di colbertaldo nv,chalk hill estate sauvignon blanc 2019
imagery estate winery cabernet sauvignon 2018,louis jadot beaujolais 2019,arrowood winery knights valley cabernet sauvignon 2018,nomen malbec 2018,trivento reserve malbec 2019,dalla valle vineyards collina 2019
alfred gratien classic rosé nv,champagne billecart-salmon brut rosé nv,laurent-perrier cuvee rose brut nv,alfred gratien brut nv,gosset 'grand rose' brut nv,champagne gosset grand rosé brut nv
"pierre gimonnet & fils ""cuvée gastronome"" brut 2015",ruinart brut rosé nv,billecart salmon brut sous bois nv,pierre peters blanc de blancs cuvée reserve nv,ayala le blanc de blancs 2015,champagne geoffroy empreinte brut 2013
robert biale vineyards black chicken zinfandel 2018,dueling pistols cellars red wine 2017,larkmead vineyards cabernet sauvignon 2018,seven deadly wines 'the seven deadly zins' zinfandel 2018,wachira black label cabernet sauvignon 2017,anne amie vineyards pinot gris 2019
bodegas naia-vina sila 'naia' 2020,decibel crownthorpe vineyard sauvignon blanc 2020,banshee sonoma county sauvignon blanc 2020,sean minor sauvignon blanc 2020,von winning 'ii' sauvignon blanc trocken 2019,bread & butter california sauvignon blanc 2020
the vice 'the tri blend' 2019,dalla valle vineyards collina 2019,cathedral ridge winery 'the daughter's reserve' 2016,knights bridge 'kb estate' red blend 2019,kokomo cuvee red 2019,louis pommery carneros chardonnay 2019
lovelee pinot noir 2019,teutonic wine company 'bergspitze' whole cluster pinot noir 2018,keller estate winery el coro pinot noir 2018,captûre pine mountain cabernet sauvignon 2017,dutton- goldfield chileno valley vineyard riesling 2018,chalone vineyard estate grown pinot noir 2019
larkmead vineyards cabernet sauvignon 2018,captûre pine mountain cabernet sauvignon 2017,eberle winery estate reserve cabernet sauvignon 2016,robert biale vineyards black chicken zinfandel 2018,chimney rock 'elevage' red 2019,cade sauvignon blanc 2020
bollinger r.d. extra brut 2007,piper-heidsieck cuvee brut nv,pol roger brut reserve 'white foil' nv,louis roederer collection 242 brut nv,laurent-perrier la cuvee brut nv,charles heidsieck brut réserve nv
chateau ste. michelle artists series meritage 2017,knights bridge 'kb estate' red blend 2019,chateau st jean 'cinq cepages' 2018,beaulieu vineyard bv reserve tapestry 2018,force of nature rabble red wine 2019,primus 'the blend' 2017
gundlach bundschu estate vineyard chardonnay 2019,sonoma-cutrer 40th anniversary winemaker’s release chardonnay 2019,anne amie vineyards pinot gris 2019,hyde de villaine hyde vineyard chardonnay 2017,fort ross vineyard sea slopes chardonnay 2019,la crema sonoma coast chardonnay 2018
archery summit arcus estate pinot noir 2019,hamacher pinot noir 2017,maison l'envoye 'straight shooter' pinot noir 2019,gran moraine pinot noir 2019,hirsch vineyards block 8 pinot noir 2019,ankida ridge vineyards pinot noir 2017
tablas creek vineyard esprit blanc 2019,alta colina downslope white 2020,anne amie vineyards pinot gris 2019,crossbarn by paul hobbs sonoma coast pinot noir 2019,justin vineyards & winery sauvignon blanc 2020,dogwood & thistle testa vineyard carignan 2018
seven deadly wines 'the seven deadly zins' zinfandel 2018,seven deadly wines cabernet sauvignon 2018,eberle winery estate reserve cabernet sauvignon 2016,robert biale vineyards black chicken zinfandel 2018,robert hall winery paso red 2019,jax vineyards y3 'taureau' 2017
laurent-perrier cuvee rose brut nv,gosset 'grand rose' brut nv,louis roederer collection 242 brut nv,alfred gratien brut nv,moet & chandon brut rose grand vintage 2013,pol roger brut reserve 'white foil' nv
sean minor sauvignon blanc 2020,bread & butter california sauvignon blanc 2020,sunday funday sauvignon blanc 2020,balletto sauvignon blanc 2021,bodegas naia-vina sila 'naia' 2020,alma de cattleya sauvignon blanc 2021
la crema sauvignon blanc 2021,alpha estate sauvignon blanc fumé 2021,dogwood and thistle sauvignon blanc 2020,armida sauvignon blanc redwood road estate 2021,balletto sauvignon blanc 2021,alma de cattleya sauvignon blanc 2021
domaines barons de rothschild lafite 'legende r' 2016,chateau marojallia 2018,my favorite neighbor cabernet sauvignon 2019,chateau greysac 2015,gundlach-bundschu estate vineyard cabernet sauvignon 2016,chateau d'armailhac 2017
pieropan soave classico 2019,feudi di san gregorio falanghina del sannio 2019,hanna sauvignon blanc 2019,hound's tree estate chardonnay 2017,gruet blanc de noirs nv,talley vineyards estate chardonnay 2017
domaine saint gayan gigondas 2016,camins 2 dreams zotovich vineyard syrah 2018,kita spe'y camp 4 vineyard 2016,locations wine ca red nv,bodegas borsao tres picos garnacha 2019,domaine skouras megas oenos 2017
masciarelli montepulciano d'abruzzo 2019,mezzacorona 'dinotte' red blend 2019,cantine colosi nero d'avola terre siciliane igt 2019,penley estate 'phoenix' cabernet sauvignon 2019,bodegas ontañon crianza 2017,massolino dolcetto d'alba 2019
château de pizay beaujolais blanc 2020,la crema chardonnay 2020,balletto teresa's unoaked chardonnay 2020,nomen malbec 2018,chateau ste. michelle canoe ridge estate chardonnay 2018,louis pommery carneros chardonnay 2019
thacher shell creek vineyards highlands district valdiguié 2018,"enroute pinot noir russian river valley ""les pommiers"" 2019",raptor ridge temperance hill vineyard pinot noir 2018,thacher glenrose vineyard cinsaut 2018,buena vista winery vinicultural society sonoma pinot noir 2018,dogwood & thistle oppenlander vineyard pinot noir 2018
chateau aney haut-medoc cru bourgeois 2014,chateau d'armailhac 2017,chateau meyney 2014,la parde de haut-bailly 2010,chateau massereau tradition 2018,chateau la tour figeac grand cru classe 2015
hirsch vineyards block 8 pinot noir 2019,hirsch vineyards san andreas fault pinot noir 2018,aniello 006 riverside estate pinot noir 2019,"enroute pinot noir russian river valley ""les pommiers"" 2019",gran moraine pinot noir 2019,scribe pinot noir 2018
feudi di san gregorio falanghina del sannio 2019,pieropan soave classico 2019,cullen dancing in the sun 2018,tablelands sauvignon blanc 2020,domaine huet vouvray 'clos du bourg' premiere trie moelleux 2018,jadix picpoul de pinet 2019
camurrìa orange 2021,weingut familie bauer barig alte reben 2019,koncho & co kisi qvevri 2019,g&c lurton l'orange wine 2021,teliani valley amber blend 2019,weingut schlossmuhlenhof 'das ist keine orange' 2019
champagne billecart-salmon brut rosé nv,alfred gratien classic rosé nv,laurent-perrier cuvee rose brut nv,champagne lallier grand rosé nv,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008,gosset 'grand rose' brut nv
cattleya 'alma de cattleya' pinot noir 2019,sanford winery pinot noir 2019,gran moraine pinot noir 2019,crossbarn by paul hobbs sonoma coast pinot noir 2019,ramey chardonnay 2017,maysara jamsheed pinot noir 2015
beau rivage chenin blanc 2017,chalone vineyard chenin blanc 2018,mary taylor 'pascal biotteau' anjou blanc 2020,long meadow ranch chardonnay 2017,cade sauvignon blanc 2020,domaine huet vouvray 'clos du bourg' premiere trie moelleux 2018
domaine saint andrieu côtes de provence rosé 2021,les sarrins cotes de provence rosé 2021,château d’esclans rock angel 2020,château minuty 281 2021,ferraton pere & fils cotes du rhone samorens rosé 2021,line 39 chardonnay 2019
inniskillin sparkling vidal icewine 2019,abacela blanco dulce 2020,dutton estate winery sweet sisters late harvest syrah 2017,santa julia tardío late harvest torrontés 2019,balletto late harvest pinot gris vin de paille 2017,schlink haus silvaner eiswein 2016
treleaven cabernet franc 2019,l'ecole no. 41 merlot 2017,fox run vineyards cabernet franc 2018,arrowood winery knights valley cabernet sauvignon 2018,gary farrell russian river selection pinot noir 2018,intrinsic red blend 2018
ram's gate winery sauvignon blanc 2020,clif family winery sauvignon blanc 2019,massaya classic blanc 2018,oak farm vineyards sauvignon blanc 2019,gary farrell russian river selection pinot noir 2018,lanson black label brut nv
teutonic wine company 'bergspitze' whole cluster pinot noir 2018,southold farm + cellar 'all things go' 2018,scribe pinot noir 2018,banshee sonoma county sauvignon blanc 2020,hamacher pinot noir 2017,balletto pinot noir 2018
chateau greysac 2015,chateau cantemerle haut-medoc 2016,chateau la tour figeac grand cru classe 2015,bodega monteviejo festivo malbecbodega monteviejo festivo malbec 2019,domaines barons de rothschild lafite 'legende r' 2016,jax vineyards y3 'taureau' 2017
decoy sauvignon blanc 2021,banshee sonoma county sauvignon blanc 2020,intrinsic sauvignon blanc 2020,"famille dubard sauvignon blanc ""coeur du mont"" 2021",lavis classic sauvignon trentino doc 2021,la crema chardonnay 2020
la crema sonoma coast chardonnay 2018,long meadow ranch pinot gris 2018,trombetta family wines gap's crown vineyard chardonnay 2018,la crema chardonnay 2020,gundlach bundschu estate vineyard chardonnay 2019,cakebread cellars chardonnay 2019
bodegas godelia mencía rosé 2021,tenuta tascante tefra rosato etna doc 2021,oak farm vineyards sauvignon blanc 2019,sonoma-cutrer chardonnay 2018,bodegas avancia cuvee de o godello 2019,la crema sonoma coast chardonnay 2018
"vigneti del sole, pinot grigio 'delle venezie doc' 2021","the pinot project, pinot grigio 'delle venezie doc' 2021",attems pinot grigio 2020,riff pinot grigio collio doc 2021,san pietro pinot grigio 2021,willm pinot blanc réserve 2018
la kiuva rosé de vallée nv,bodegas ontañon crianza 2017,justin vineyards & winery sauvignon blanc 2020,adriano adami dry vigneto giardino rive di colbertaldo nv,sonoma-cutrer les pierres vineyard chardonnay 2018,masseria li veli torrerose negroamaro rosato salento igt 2021
trombetta family wines gap's crown vineyard chardonnay 2018,la crema sonoma coast chardonnay 2018,sonoma-cutrer 40th anniversary winemaker’s release chardonnay 2019,giant steps winery chardonnay 2020,fort ross vineyard sea slopes chardonnay 2019,hirsch vineyards hirsch estate chardonnay 2020
ridgecrest estate grüner veltliner 2019,brooks estate vineyards pinot gris 2019,ridgecrest vineyards 'rr' riesling 2018,weingut r & a pfaffl zeisen grüner veltliner 2018,hanna sauvignon blanc 2019,david hill estate 'first pick' riesling 2019
mylonas dry rosé 2021,alta colina downslope white 2020,von winning 'ii' sauvignon blanc trocken 2019,krug brut rosé 25th edition nv,shannon ridge high elevation chardonnay 2020,kir-yanni akakies sparkling rosé 2021
laurent-perrier la cuvee brut nv,piper-heidsieck cuvee brut nv,charles heidsieck brut réserve nv,pol roger brut reserve 'white foil' nv,louis roederer collection 242 brut nv,telmont reserve brut nv
lievland old vines chenin blanc 2019,mary taylor 'pascal biotteau' anjou blanc 2020,lievland vineyards cabernet sauvignon 2019,stark-condé stellenbosch cabernet sauvignon 2019,cataclysm cabernet sauvignon 2019,cullen dancing in the sun 2018
decoy merlot 2018,dogwood & thistle merlot 2019,l'ecole no. 41 merlot 2017,chateau st jean 'cinq cepages' 2018,anne amie vineyards pinot gris 2019,force of nature rabble red wine 2019
lievland vineyards cabernet sauvignon 2019,stark-condé stellenbosch cabernet sauvignon 2019,lievland old vines chenin blanc 2019,cataclysm cabernet sauvignon 2019,macari vineyards dos aguas red 2019,chateau marojallia 2018
brooks estate vineyards pinot gris 2019,ridgecrest estate grüner veltliner 2019,hound's tree estate chardonnay 2017,ridgecrest vineyards 'rr' riesling 2018,broadbent vinho verde 2019,clif family winery gewürtztraminer 2018
landmark vineyards damaris reserve chardonnay 2019,ramey chardonnay 2017,albert bichot 'secret de famille' bourgogne cote d'or chardonnay 2017,delille cellars d2 2019,jefferson vineyards viognier 2019,giant steps winery chardonnay 2020
louis roederer blanc de blancs 2013,pierre peters blanc de blancs cuvée reserve nv,charles heidsieck blanc de blancs nv,champagne geoffroy empreinte brut 2013,champagne taittinger brut la française nv,moet & chandon brut rose grand vintage 2013
arrowood winery knights valley cabernet sauvignon 2018,wachira black label cabernet sauvignon 2017,penley estate 'phoenix' cabernet sauvignon 2019,chateau marojallia 2018,imagery estate winery cabernet sauvignon 2018,dogwood & thistle testa vineyard carignan 2018
decibel crownthorpe vineyard sauvignon blanc 2020,tablelands sauvignon blanc 2020,decibel wines 'giunta' malbec nouveau 2020,loveblock sauvignon blanc 2020,bodegas naia-vina sila 'naia' 2020,otto's constant dream sauvignon blanc 2021
banshee sonoma county sauvignon blanc 2020,tangent paragon vineyard sauvignon blanc 2019,intrinsic sauvignon blanc 2020,decoy sauvignon blanc 2021,routestock cellars 'route 29' sauvignon blanc 2020,sean minor 4 bears 4b sauvignon blanc 2019
breaking bread winery rosé of zinfandel 2021,breaking bread field blend cuvee 2020,banshee wines banshee sonoma county rosé 2021,tenuta tascante tefra rosato etna doc 2021,sosie wines rosé of syrah 2021,gramercy cellars olsen vineyard rosé 2021
gamble family vineyards 2021 sauvignon blanc 2021,cakebread cellars sauvignon blanc 2021,armida sauvignon blanc redwood road estate 2021,balletto sauvignon blanc 2021,ram's gate sauvignon blanc 2021,alpha estate sauvignon blanc fumé 2021
louis roederer cristal millesime brut 2013,alfred gratien brut nv,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008,moet & chandon brut rose grand vintage 2013,pol roger brut reserve 'white foil' nv,louis roederer collection 242 brut nv
anne amie vineyards pinot gris 2019,teutonic wine company pinot gris 2018,weingut r & a pfaffl zeisen grüner veltliner 2018,weingut hirsch lamm gruner veltliner 2019,gundlach bundschu estate vineyard chardonnay 2019,alpha estate single vineyard 'turtles' malagouzia 2019
perrier-jouët blason rosé nv,charles heidsieck brut reserve rosé nv,laurent-perrier cuvee rose brut nv,krug brut rosé 25th edition nv,gosset 'grand rose' brut nv,louis roederer collection 242 brut nv
balletto vineyards twin ridges vineyard chardonnay 2019,la crema sonoma coast chardonnay 2018,trombetta family wines gap's crown vineyard chardonnay 2018,gundlach bundschu estate vineyard chardonnay 2019,hirsch vineyards hirsch estate chardonnay 2020,albert bichot 'secret de famille' bourgogne cote d'or chardonnay 2017
ridgecrest vineyards 'rr' riesling 2018,ridgecrest estate grüner veltliner 2019,david hill estate 'first pick' riesling 2019,ram's gate winery sauvignon blanc 2020,brooks estate vineyards pinot gris 2019,standing stone vineyards timeline dry riesling 2019
dogwood and thistle sauvignon blanc 2020,bonterra chardonnay 2020,macari katherine's field sauvignon blanc 2020,"famille dubard sauvignon blanc ""coeur du mont"" 2021",la crema sauvignon blanc 2021,balletto sauvignon blanc 2021
skouras saint george agiorgitiko 2017,massaya classic blanc 2018,poliziano 'asinone' vino nobile di montepulciano docg 2017,gary farrell russian river selection pinot noir 2018,domaine skouras megas oenos 2017,balletto pinot noir 2018
abacela blanco dulce 2020,jefferson vineyards viognier 2019,balletto late harvest pinot gris vin de paille 2017,inniskillin sparkling vidal icewine 2019,domaine sigalas vinsanto nv,santo winery vinsanto 2014
vollereaux cuvee marguerite brut millesime 2011,perrier-jouet belle epoque - fleur de champagne millesime brut 2012,louis roederer collection 242 brut nv,louis roederer cristal millesime brut 2013,piper-heidsieck cuvee brut nv,alfred gratien classic rosé nv
espectacle del montsant 2017,clos mogador 'com tu' 2016,bodegas borsao tres picos garnacha 2019,c.l. butaud desert willow vineyard mourvedre 2019,bodegas ontañon crianza 2017,alexander valley vineyards wetzel family homestead red 2019
lanson black label brut nv,piper-heidsieck cuvee brut nv,louis roederer et philippe starck brut nature millesime 2012,laurent-perrier la cuvee brut nv,louis roederer collection 242 brut nv,billecart-salmon 'cuvee elisabeth salmon' brut rose millesime 2008
jax vineyards y3 'taureau' 2017,force of nature rabble red wine 2019,chateau greysac 2015,chateau ste. michelle artists series meritage 2017,knights bridge 'kb estate' red blend 2019,bodega monteviejo festivo malbecbodega monteviejo festivo malbec 2019
vigna lenuzza pinot grigio 2019,cantina terlano pinot grigio 2021,san pietro pinot grigio 2021,"bieler family, pinot grigio ""daisy"" 2021",good harbor pinot grigio 2021,attems pinot grigio 2020
les sarrins cotes de provence rosé 2021,domaine saint andrieu côtes de provence rosé 2021,château d’esclans rock angel 2020,ferraton pere & fils cotes du rhone samorens rosé 2021,château minuty 281 2021,l' esprit du lac vieilles vignes dry rosé 2021
good harbor pinot grigio 2021,cantina terlano pinot grigio 2021,"bieler family, pinot grigio ""daisy"" 2021","the pinot project, pinot grigio 'delle venezie doc' 2021",vigna lenuzza pinot grigio 2019,san pietro pinot grigio 2021
poliziano 'asinone' vino nobile di montepulciano docg 2017,garesio barbera d'asti superiore nizza docg 2017,argiano solengo toscana igt 2018,skouras saint george agiorgitiko 2017,hound’s tree cornus reserve 2015,dr. konstantin frank saperavi 2019
giant steps winery chardonnay 2020,louis pommery carneros chardonnay 2019,trombetta family wines gap's crown vineyard chardonnay 2018,gundlach bundschu estate vineyard chardonnay 2019,long meadow ranch chardonnay 2017,albert bichot 'secret de famille' bourgogne cote d'or chardonnay 2017
